序号,模块名称,模块类型,供电类型（有源/无源）,线制,通道位号,位号,场站名,变量名称（HMI）,变量描述,数据类型,读写属性,保存历史,掉电保护,量程低限,量程高限,SLL设定值,SLL设定点位,SLL设定点位_PLC地址,SLL设定点位_通讯地址,SL设定值,SL设定点位,SL设定点位_PLC地址,SL设定点位_通讯地址,SH设定值,SH设定点位,SH设定点位_PLC地址,SH设定点位_通讯地址,SHH设定值,SHH设定点位,SHH设定点位_PLC地址,SHH设定点位_通讯地址,LL报警,LL报警_PLC地址,LL报警_通讯地址,L报警,L报警_PLC地址,L报警_通讯地址,H报警,H报警_PLC地址,H报警_通讯地址,HH报警,HH报警_PLC地址,HH报警_通讯地址,维护值设定,维护值设定点位,维护值设定点位_PLC地址,维护值设定点位_通讯地址,维护使能开关点位,维护使能开关点位_PLC地址,维护使能开关点位_通讯地址,PLC绝对地址,上位机通讯地址
53,16通道数字量输入模块,DI,有源,,1_6_DI_12,YLDW1_6_DI_12,樟洋电厂,YLDW1_6_DI_12,,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX23.4,00029
54,16通道数字量输入模块,DI,有源,,1_6_DI_13,YLDW1_6_DI_13,樟洋电厂,YLDW1_6_DI_13,,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX23.5,00030
55,16通道数字量输入模块,DI,有源,,1_6_DI_14,YLDW1_6_DI_14,樟洋电厂,YLDW1_6_DI_14,,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX23.6,00031
56,16通道数字量输入模块,DI,无源,,1_6_DI_15,YLDW1_6_DI_15,樟洋电厂,YLDW1_6_DI_15,,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX23.7,00032
57,16通道数字量输出模块,DO,无源,二线制,1_7_DO_0,DO_1_CL_1,樟洋电厂,DO_1_CL_1,设备1关,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX24.0,00033
58,16通道数字量输出模块,DO,无源,二线制,1_7_DO_1,DO_2_OP_1,樟洋电厂,DO_2_OP_1,设备1开,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX24.1,00034
59,16通道数字量输出模块,DO,有源,二线制,1_7_DO_2,SQ6103_S0,樟洋电厂,SQ6103_S0,A路计量出口气动阀开指令,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX24.2,00035
60,16通道数字量输出模块,DO,有源,二线制,1_7_DO_3,SQ6103_SC,樟洋电厂,SQ6103_SC,A路计量出口气动阀关指令,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX24.3,00036
61,16通道数字量输出模块,DO,有源,二线制,1_7_DO_4,SQ6104_S0,樟洋电厂,SQ6104_S0,B路计量出口气动阀开指令,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX24.4,00037
62,16通道数字量输出模块,DO,有源,二线制,1_7_DO_5,SQ6104_SC,樟洋电厂,SQ6104_SC,B路计量出口气动阀关指令,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX24.5,00038
63,16通道数字量输出模块,DO,有源,二线制,1_7_DO_6,SQ6102_SC,樟洋电厂,SQ6102_SC,计量撬出口气动阀开指令,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX24.6,00039
64,16通道数字量输出模块,DO,有源,二线制,1_7_DO_7,SQ6102_ESD,樟洋电厂,SQ6102_ESD,计量撬出口气动阀关指令,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX24.7,00040
65,16通道数字量输出模块,DO,有源,二线制,1_7_DO_8,SA0001,樟洋电厂,SA0001,控制室声光报警器,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX25.0,00041
66,16通道数字量输出模块,DO,有源,二线制,1_7_DO_9,SA1001,樟洋电厂,SA1001,现场声光报警器,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX25.1,00042
67,16通道数字量输出模块,DO,有源,,1_7_DO_10,YLDW1_7_DO_10,樟洋电厂,YLDW1_7_DO_10,,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX25.2,00043
68,16通道数字量输出模块,DO,有源,,1_7_DO_11,YLDW1_7_DO_11,樟洋电厂,YLDW1_7_DO_11,,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX25.3,00044
69,16通道数字量输出模块,DO,有源,,1_7_DO_12,YLDW1_7_DO_12,樟洋电厂,YLDW1_7_DO_12,,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX25.4,00045
70,16通道数字量输出模块,DO,有源,,1_7_DO_13,YLDW1_7_DO_13,樟洋电厂,YLDW1_7_DO_13,,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX25.5,00046
71,16通道数字量输出模块,DO,有源,,1_7_DO_14,YLDW1_7_DO_14,樟洋电厂,YLDW1_7_DO_14,,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX25.6,00047
72,16通道数字量输出模块,DO,有源,,1_7_DO_15,YLDW1_7_DO_15,樟洋电厂,YLDW1_7_DO_15,,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX25.7,00048
73,16通道数字量输出模块,DO,无源,二线制,1_8_DO_0,DO_1_CL_2,樟洋电厂,DO_1_CL_2,设备2关,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX26.0,00049
74,16通道数字量输出模块,DO,无源,二线制,1_8_DO_1,DO_2_OP_2,樟洋电厂,DO_2_OP_2,设备2开,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX26.1,00050
75,16通道数字量输出模块,DO,有源,,1_8_DO_2,YLDW1_8_DO_2,樟洋电厂,YLDW1_8_DO_2,,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX26.2,00051
76,16通道数字量输出模块,DO,有源,,1_8_DO_3,YLDW1_8_DO_3,樟洋电厂,YLDW1_8_DO_3,,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX26.3,00052
77,16通道数字量输出模块,DO,有源,,1_8_DO_4,YLDW1_8_DO_4,樟洋电厂,YLDW1_8_DO_4,,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX26.4,00053
78,16通道数字量输出模块,DO,有源,,1_8_DO_5,YLDW1_8_DO_5,樟洋电厂,YLDW1_8_DO_5,,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX26.5,00054
79,16通道数字量输出模块,DO,有源,,1_8_DO_6,YLDW1_8_DO_6,樟洋电厂,YLDW1_8_DO_6,,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX26.6,00055
80,16通道数字量输出模块,DO,有源,,1_8_DO_7,YLDW1_8_DO_7,樟洋电厂,YLDW1_8_DO_7,,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX26.7,00056
81,16通道数字量输出模块,DO,有源,,1_8_DO_8,YLDW1_8_DO_8,樟洋电厂,YLDW1_8_DO_8,,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX27.0,00057
82,16通道数字量输出模块,DO,有源,,1_8_DO_9,YLDW1_8_DO_9,樟洋电厂,YLDW1_8_DO_9,,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX27.1,00058
83,16通道数字量输出模块,DO,有源,,1_8_DO_10,YLDW1_8_DO_10,樟洋电厂,YLDW1_8_DO_10,,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX27.2,00059
84,16通道数字量输出模块,DO,有源,,1_8_DO_11,YLDW1_8_DO_11,樟洋电厂,YLDW1_8_DO_11,,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX27.3,00060
85,16通道数字量输出模块,DO,有源,,1_8_DO_12,YLDW1_8_DO_12,樟洋电厂,YLDW1_8_DO_12,,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX27.4,00061
86,16通道数字量输出模块,DO,有源,,1_8_DO_13,YLDW1_8_DO_13,樟洋电厂,YLDW1_8_DO_13,,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX27.5,00062
87,16通道数字量输出模块,DO,有源,,1_8_DO_14,YLDW1_8_DO_14,樟洋电厂,YLDW1_8_DO_14,,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX27.6,00063
88,16通道数字量输出模块,DO,有源,,1_8_DO_15,YLDW1_8_DO_15,樟洋电厂,YLDW1_8_DO_15,,BOOL,R/W,是,是,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,%MX27.7,00064
